date,"(0, 'hors')","(0, 'u')","(0, 'v')","(0, 'ws')","(0, 'wd')","(1, 'hors')","(1, 'u')","(1, 'v')","(1, 'ws')","(1, 'wd')","(2, 'hors')","(2, 'u')","(2, 'v')","(2, 'ws')","(2, 'wd')","(3, 'hors')","(3, 'u')","(3, 'v')","(3, 'ws')","(3, 'wd')",wp2
2009-07-01 01:00:00,1.0,3.32,-1.93,3.84,120.2,,,,,,,,,,,,,,,,0.249
2009-07-01 02:00:00,2.0,2.88,-1.78,3.39,121.76,,,,,,,,,,,,,,,,0.175
2009-07-01 03:00:00,3.0,2.46,-1.71,2.99,124.85,,,,,,,,,,,,,,,,0.085
2009-07-01 04:00:00,4.0,2.07,-1.68,2.67,129.09,,,,,,,,,,,,,,,,0.032
2009-07-01 05:00:00,5.0,1.77,-1.65,2.42,132.96,,,,,,,,,,,,,,,,0.011
2009-07-01 06:00:00,6.0,1.61,-1.55,2.24,134.05,,,,,,,,,,,,,,,,0.0
2009-07-01 07:00:00,7.0,1.6,-1.37,2.11,130.46,,,,,,,,,,,,,,,,0.011
2009-07-01 08:00:00,8.0,1.71,-1.19,2.08,124.72,,,,,,,,,,,,,,,,0.016
2009-07-01 09:00:00,9.0,1.84,-1.12,2.16,121.38,,,,,,,,,,,,,,,,0.0
2009-07-01 10:00:00,10.0,1.94,-1.27,2.32,123.11,,,,,,,,,,,,,,,,0.005
2009-07-01 11:00:00,11.0,2.01,-1.53,2.53,127.29,,,,,,,,,,,,,,,,0.021
2009-07-01 12:00:00,12.0,2.07,-1.8,2.74,131.0,,,,,,,,,,,,,,,,0.021
2009-07-01 13:00:00,13.0,2.13,-1.96,2.9,132.73,1.0,2.22,-2.0,2.98,131.99,,,,,,,,,,,0.026
2009-07-01 14:00:00,14.0,2.24,-2.07,3.05,132.76,2.0,2.2,-2.33,3.21,136.65,,,,,,,,,,,0.021
2009-07-01 15:00:00,15.0,2.45,-2.17,3.27,131.58,3.0,2.4,-2.54,3.49,136.66,,,,,,,,,,,0.016
2009-07-01 16:00:00,16.0,2.77,-2.31,3.61,129.84,4.0,2.72,-2.65,3.79,134.24,,,,,,,,,,,0.021
2009-07-01 17:00:00,17.0,3.13,-2.49,4.0,128.47,5.0,3.07,-2.71,4.1,131.45,,,,,,,,,,,0.016
2009-07-01 18:00:00,18.0,3.4,-2.66,4.32,128.08,6.0,3.36,-2.8,4.38,129.85,,,,,,,,,,,0.032
2009-07-01 19:00:00,19.0,3.5,-2.81,4.49,128.8,7.0,3.5,-2.95,4.58,130.13,,,,,,,,,,,0.037
2009-07-01 20:00:00,20.0,3.48,-2.9,4.53,129.8,8.0,3.49,-3.05,4.64,131.16,,,,,,,,,,,0.048
2009-07-01 21:00:00,21.0,3.44,-2.89,4.49,130.08,9.0,3.34,-2.96,4.46,131.6,,,,,,,,,,,0.058
2009-07-01 22:00:00,22.0,3.41,-2.75,4.38,128.88,10.0,3.06,-2.59,4.01,130.24,,,,,,,,,,,0.09
2009-07-01 23:00:00,23.0,3.33,-2.47,4.14,126.57,11.0,2.77,-2.06,3.45,126.58,,,,,,,,,,,0.127
2009-07-02 00:00:00,24.0,3.08,-2.05,3.7,123.63,12.0,2.58,-1.52,2.99,120.54,,,,,,,,,,,0.164
2009-07-02 01:00:00,25.0,2.61,-1.51,3.01,120.13,13.0,2.56,-1.12,2.79,113.65,1.0,2.64,-1.2,2.91,114.46,,,,,,0.138
2009-07-02 02:00:00,26.0,2.07,-0.99,2.29,115.5,14.0,2.61,-0.86,2.75,108.17,2.0,2.59,-1.0,2.78,110.98,,,,,,0.116
2009-07-02 03:00:00,27.0,1.66,-0.61,1.77,110.27,15.0,2.59,-0.7,2.68,105.14,3.0,2.51,-0.91,2.67,109.87,,,,,,0.079
2009-07-02 04:00:00,28.0,1.55,-0.5,1.63,107.87,16.0,2.38,-0.61,2.46,104.37,4.0,2.39,-0.89,2.55,110.5,,,,,,0.074
2009-07-02 05:00:00,29.0,1.62,-0.54,1.71,108.34,17.0,2.01,-0.5,2.07,104.04,5.0,2.23,-0.88,2.39,111.52,,,,,,0.063
2009-07-02 06:00:00,30.0,1.72,-0.58,1.82,108.52,18.0,1.52,-0.28,1.54,100.41,6.0,2.02,-0.78,2.16,111.14,,,,,,0.074
2009-07-02 07:00:00,31.0,1.73,-0.51,1.8,106.38,19.0,0.97,0.1,0.98,84.06,7.0,1.76,-0.55,1.84,107.46,,,,,,0.058
2009-07-02 08:00:00,32.0,1.63,-0.38,1.67,103.14,20.0,0.49,0.47,0.68,46.41,8.0,1.48,-0.3,1.52,101.54,,,,,,0.053
2009-07-02 09:00:00,33.0,1.47,-0.29,1.49,101.18,21.0,0.2,0.6,0.64,17.99,9.0,1.25,-0.18,1.26,98.11,,,,,,0.058
2009-07-02 10:00:00,34.0,1.27,-0.3,1.31,103.23,22.0,0.16,0.36,0.39,23.66,10.0,1.09,-0.27,1.13,103.99,,,,,,0.053
2009-07-02 11:00:00,35.0,1.12,-0.35,1.17,107.58,23.0,0.26,-0.1,0.28,112.3,11.0,1.03,-0.48,1.13,115.14,,,,,,0.101
2009-07-02 12:00:00,36.0,1.07,-0.37,1.13,109.04,24.0,0.32,-0.55,0.64,150.28,12.0,1.05,-0.65,1.23,121.73,,,,,,0.074
2009-07-02 13:00:00,37.0,1.18,-0.3,1.22,104.02,25.0,0.24,-0.82,0.85,163.57,13.0,1.18,-0.68,1.36,119.98,1.0,1.51,-1.51,2.14,135.01,0.058
2009-07-02 14:00:00,38.0,1.49,-0.25,1.51,99.44,26.0,0.21,-0.97,1.0,167.74,14.0,1.45,-0.71,1.62,116.12,2.0,1.93,-1.89,2.7,134.43,0.085
2009-07-02 15:00:00,39.0,1.98,-0.37,2.02,100.6,27.0,0.48,-1.16,1.26,157.49,15.0,1.94,-0.95,2.16,116.19,3.0,2.45,-2.28,3.35,132.82,0.085
2009-07-02 16:00:00,40.0,2.65,-0.77,2.76,106.2,28.0,1.22,-1.49,1.92,140.7,16.0,2.65,-1.53,3.06,119.98,4.0,3.05,-2.66,4.05,131.05,0.116
2009-07-02 17:00:00,41.0,3.39,-1.37,3.66,111.99,29.0,2.24,-1.92,2.95,130.52,17.0,3.45,-2.26,4.12,123.31,5.0,3.68,-3.04,4.77,129.51,0.143
2009-07-02 18:00:00,42.0,4.07,-2.04,4.55,116.67,30.0,3.3,-2.38,4.07,125.85,18.0,4.16,-2.92,5.08,125.07,6.0,4.31,-3.41,5.5,128.36,0.175
2009-07-02 19:00:00,43.0,4.57,-2.68,5.3,120.37,31.0,4.16,-2.82,5.02,124.13,19.0,4.65,-3.3,5.7,125.42,7.0,4.9,-3.78,6.19,127.61,0.175
2009-07-02 20:00:00,44.0,4.89,-3.21,5.85,123.29,32.0,4.74,-3.16,5.7,123.71,20.0,4.91,-3.45,6.0,125.06,8.0,5.36,-4.05,6.71,127.07,0.201
2009-07-02 21:00:00,45.0,5.04,-3.59,6.19,125.43,33.0,5.0,-3.36,6.03,123.91,21.0,4.99,-3.44,6.06,124.54,9.0,5.57,-4.12,6.93,126.52,0.222
2009-07-02 22:00:00,46.0,5.02,-3.76,6.27,126.81,34.0,4.92,-3.38,5.97,124.47,22.0,4.92,-3.34,5.95,124.21,10.0,5.46,-3.95,6.74,125.85,0.291
2009-07-02 23:00:00,47.0,4.8,-3.73,6.08,127.81,35.0,4.59,-3.25,5.62,125.33,23.0,4.7,-3.2,5.69,124.28,11.0,5.06,-3.6,6.21,125.38,0.444
2009-07-03 00:00:00,48.0,4.34,-3.5,5.58,128.85,36.0,4.11,-3.04,5.11,126.47,24.0,4.33,-3.03,5.29,125.0,12.0,4.42,-3.18,5.45,125.74,0.386
2009-07-03 01:00:00,37.0,3.59,-2.78,4.54,127.79,25.0,3.82,-2.84,4.76,126.59,13.0,3.61,-2.8,4.57,127.73,1.0,3.99,-3.39,5.23,130.32,0.397
2009-07-03 02:00:00,38.0,3.09,-2.49,3.97,128.95,26.0,3.24,-2.59,4.15,128.63,14.0,2.8,-2.43,3.7,130.97,2.0,3.69,-3.27,4.93,131.51,0.296
2009-07-03 03:00:00,39.0,2.65,-2.17,3.43,129.28,27.0,2.67,-2.25,3.49,130.12,15.0,2.15,-2.04,2.96,133.54,3.0,3.42,-2.99,4.54,131.16,0.259
2009-07-03 04:00:00,40.0,2.33,-1.82,2.95,127.94,28.0,2.18,-1.8,2.83,129.67,16.0,1.8,-1.63,2.42,132.11,4.0,3.17,-2.61,4.11,129.47,0.206
2009-07-03 05:00:00,41.0,2.12,-1.49,2.59,125.07,29.0,1.8,-1.37,2.27,127.35,17.0,1.66,-1.25,2.08,126.96,5.0,2.96,-2.23,3.71,127.02,0.122
2009-07-03 06:00:00,42.0,2.01,-1.25,2.37,121.83,30.0,1.57,-1.1,1.92,125.16,18.0,1.61,-1.02,1.9,122.3,6.0,2.78,-1.94,3.39,124.91,0.101
2009-07-03 07:00:00,43.0,2.01,-1.15,2.31,119.92,31.0,1.49,-1.09,1.85,126.09,19.0,1.54,-0.98,1.82,122.62,7.0,2.64,-1.8,3.2,124.34,0.106
2009-07-03 08:00:00,44.0,2.04,-1.16,2.35,119.53,32.0,1.56,-1.21,1.97,127.98,20.0,1.49,-1.08,1.83,125.91,8.0,2.54,-1.77,3.1,124.82,0.138
2009-07-03 09:00:00,45.0,2.07,-1.2,2.39,120.06,33.0,1.72,-1.32,2.17,127.41,21.0,1.54,-1.19,1.94,127.73,9.0,2.5,-1.76,3.06,125.05,0.069
2009-07-03 10:00:00,46.0,2.05,-1.23,2.39,120.88,34.0,1.98,-1.3,2.36,123.33,22.0,1.74,-1.25,2.14,125.6,10.0,2.53,-1.71,3.06,124.06,0.053
2009-07-03 11:00:00,47.0,2.06,-1.25,2.41,121.36,35.0,2.33,-1.31,2.67,119.37,23.0,2.08,-1.32,2.47,122.39,11.0,2.67,-1.7,3.17,122.54,0.085
2009-07-03 12:00:00,48.0,2.18,-1.3,2.54,120.83,36.0,2.8,-1.56,3.21,119.18,24.0,2.52,-1.52,2.94,121.04,12.0,2.96,-1.83,3.48,121.66,0.069
2009-07-03 13:00:00,37.0,3.4,-2.19,4.05,122.81,25.0,3.0,-1.89,3.55,122.21,13.0,3.43,-2.15,4.05,122.04,1.0,3.53,-2.4,4.27,124.23,0.106
2009-07-03 14:00:00,38.0,4.04,-2.98,5.02,126.39,26.0,3.52,-2.37,4.24,123.92,14.0,3.98,-2.59,4.75,123.06,2.0,4.01,-2.91,4.96,125.97,0.143
2009-07-03 15:00:00,39.0,4.61,-3.62,5.86,128.13,27.0,4.05,-2.81,4.93,124.83,15.0,4.49,-3.05,5.43,124.2,3.0,4.53,-3.37,5.65,126.67,0.127
2009-07-03 16:00:00,40.0,5.01,-3.89,6.34,127.79,28.0,4.56,-3.15,5.54,124.63,16.0,4.87,-3.45,5.97,125.27,4.0,5.03,-3.77,6.29,126.85,0.159
2009-07-03 17:00:00,41.0,5.3,-3.93,6.59,126.56,29.0,5.02,-3.42,6.07,124.29,17.0,5.15,-3.76,6.38,126.17,5.0,5.48,-4.11,6.85,126.84,0.259
2009-07-03 18:00:00,42.0,5.52,-3.96,6.79,125.65,30.0,5.36,-3.71,6.52,124.71,18.0,5.36,-4.01,6.69,126.84,6.0,5.82,-4.37,7.28,126.89,0.455
2009-07-03 19:00:00,43.0,5.7,-4.13,7.05,125.93,31.0,5.55,-4.07,6.88,126.28,19.0,5.53,-4.19,6.94,127.2,7.0,6.02,-4.56,7.55,127.14,0.524
2009-07-03 20:00:00,44.0,5.77,-4.37,7.24,127.15,32.0,5.55,-4.39,7.08,128.31,20.0,5.59,-4.28,7.04,127.47,8.0,6.0,-4.61,7.57,127.58,0.497
2009-07-03 21:00:00,45.0,5.6,-4.53,7.21,128.94,33.0,5.36,-4.51,7.01,130.07,21.0,5.46,-4.25,6.92,127.88,9.0,5.67,-4.47,7.22,128.21,0.529
2009-07-03 22:00:00,46.0,5.12,-4.48,6.8,131.17,34.0,4.97,-4.34,6.6,131.11,22.0,5.08,-4.07,6.51,128.7,10.0,5.02,-4.08,6.47,129.11,0.492
2009-07-03 23:00:00,47.0,4.4,-4.21,6.09,133.77,35.0,4.4,-3.92,5.9,131.73,23.0,4.45,-3.77,5.83,130.27,11.0,4.18,-3.53,5.47,130.22,0.36
2009-07-04 00:00:00,48.0,3.55,-3.75,5.16,136.59,36.0,3.69,-3.37,5.0,132.44,24.0,3.61,-3.39,4.95,133.24,12.0,3.36,-2.94,4.47,131.23,0.212
2009-07-04 01:00:00,37.0,2.9,-2.78,4.01,133.78,25.0,2.62,-2.96,3.95,138.55,13.0,2.71,-2.41,3.62,131.63,1.0,2.8,-2.38,3.68,130.32,0.09
2009-07-04 02:00:00,38.0,2.19,-2.19,3.09,135.0,26.0,1.7,-2.49,3.02,145.66,14.0,2.21,-1.98,2.97,131.76,2.0,2.23,-2.0,2.99,131.94,0.074
2009-07-04 03:00:00,39.0,1.75,-1.66,2.41,133.42,27.0,1.12,-1.98,2.28,150.46,15.0,1.82,-1.69,2.49,132.91,3.0,1.83,-1.83,2.59,134.98,0.058
2009-07-04 04:00:00,40.0,1.71,-1.24,2.11,126.01,28.0,1.04,-1.45,1.78,144.21,16.0,1.49,-1.57,2.16,136.55,4.0,1.58,-1.77,2.37,138.26,0.021
2009-07-04 05:00:00,41.0,1.84,-0.99,2.09,118.2,29.0,1.27,-1.01,1.62,128.29,17.0,1.22,-1.51,1.94,141.1,5.0,1.44,-1.69,2.22,139.52,0.042
2009-07-04 06:00:00,42.0,1.89,-0.97,2.12,117.15,30.0,1.54,-0.8,1.73,117.42,18.0,1.03,-1.39,1.73,143.32,6.0,1.36,-1.41,1.96,136.06,0.037
2009-07-04 07:00:00,43.0,1.65,-1.19,2.03,125.79,31.0,1.61,-0.9,1.85,119.15,19.0,0.94,-1.11,1.46,139.73,7.0,1.32,-0.87,1.58,123.27,0.016
2009-07-04 08:00:00,44.0,1.24,-1.43,1.89,139.11,32.0,1.49,-1.13,1.87,127.2,20.0,0.91,-0.74,1.17,128.95,8.0,1.31,-0.21,1.33,99.21,0.0
2009-07-04 09:00:00,45.0,0.86,-1.42,1.66,148.86,33.0,1.23,-1.26,1.77,135.63,21.0,0.9,-0.35,0.97,111.15,9.0,1.33,0.32,1.37,76.69,0.0
2009-07-04 10:00:00,46.0,0.68,-0.99,1.2,145.64,34.0,0.91,-1.12,1.44,140.87,22.0,0.88,-0.02,0.88,91.41,10.0,1.4,0.54,1.5,69.09,0.0
2009-07-04 11:00:00,47.0,0.73,-0.38,0.82,117.57,35.0,0.68,-0.83,1.08,140.64,23.0,0.92,0.19,0.94,78.09,11.0,1.56,0.48,1.63,72.74,0.0
2009-07-04 12:00:00,48.0,1.01,0.06,1.01,86.4,36.0,0.73,-0.59,0.94,129.24,24.0,1.1,0.26,1.13,76.68,12.0,1.85,0.25,1.86,82.31,0.016
2009-07-04 13:00:00,37.0,1.17,-0.57,1.3,115.79,25.0,1.48,0.14,1.48,84.52,13.0,2.29,-0.1,2.29,92.4,1.0,2.08,0.03,2.08,89.05,0.037
2009-07-04 14:00:00,38.0,1.91,-0.74,2.05,111.34,26.0,2.01,-0.17,2.02,94.87,14.0,2.83,-0.54,2.88,100.82,2.0,2.67,-0.4,2.7,98.5,0.026
2009-07-04 15:00:00,39.0,2.77,-1.09,2.98,111.48,27.0,2.65,-0.68,2.74,104.43,15.0,3.39,-1.09,3.56,107.86,3.0,3.23,-1.08,3.41,108.45,0.011
2009-07-04 16:00:00,40.0,3.6,-1.56,3.93,113.45,28.0,3.33,-1.37,3.6,112.4,16.0,3.88,-1.74,4.25,114.08,4.0,3.72,-1.89,4.17,116.9,0.005
2009-07-04 17:00:00,41.0,4.26,-2.14,4.77,116.68,29.0,3.93,-2.12,4.47,118.35,17.0,4.29,-2.4,4.92,119.26,5.0,4.11,-2.7,4.92,123.29,0.021
2009-07-04 18:00:00,42.0,4.61,-2.8,5.39,121.32,30.0,4.35,-2.79,5.17,122.68,18.0,4.59,-3.01,5.49,123.27,6.0,4.36,-3.37,5.51,127.73,0.037
2009-07-04 19:00:00,43.0,4.55,-3.5,5.74,127.55,31.0,4.49,-3.26,5.54,125.98,19.0,4.76,-3.48,5.89,126.17,7.0,4.44,-3.8,5.84,130.57,0.042
