date,"(0, 'hors')","(0, 'u')","(0, 'v')","(0, 'ws')","(0, 'wd')","(1, 'hors')","(1, 'u')","(1, 'v')","(1, 'ws')","(1, 'wd')","(2, 'hors')","(2, 'u')","(2, 'v')","(2, 'ws')","(2, 'wd')","(3, 'hors')","(3, 'u')","(3, 'v')","(3, 'ws')","(3, 'wd')",wp5
2009-07-01 01:00:00,1.0,-0.99,2.75,2.93,340.24,,,,,,,,,,,,,,,,0.066
2009-07-01 02:00:00,2.0,-1.25,2.54,2.83,333.88,,,,,,,,,,,,,,,,0.015
2009-07-01 03:00:00,3.0,-1.35,2.59,2.92,332.41,,,,,,,,,,,,,,,,0.01
2009-07-01 04:00:00,4.0,-1.33,2.8,3.1,334.53,,,,,,,,,,,,,,,,0.01
2009-07-01 05:00:00,5.0,-1.22,3.09,3.32,338.51,,,,,,,,,,,,,,,,0.015
2009-07-01 06:00:00,6.0,-1.02,3.34,3.49,343.08,,,,,,,,,,,,,,,,0.015
2009-07-01 07:00:00,7.0,-0.77,3.49,3.57,347.56,,,,,,,,,,,,,,,,0.025
2009-07-01 08:00:00,8.0,-0.55,3.54,3.58,351.12,,,,,,,,,,,,,,,,0.046
2009-07-01 09:00:00,9.0,-0.46,3.56,3.59,352.58,,,,,,,,,,,,,,,,0.081
2009-07-01 10:00:00,10.0,-0.53,3.58,3.62,351.58,,,,,,,,,,,,,,,,0.101
2009-07-01 11:00:00,11.0,-0.53,3.66,3.7,351.75,,,,,,,,,,,,,,,,0.111
2009-07-01 12:00:00,12.0,-0.18,3.82,3.83,357.34,,,,,,,,,,,,,,,,0.121
2009-07-01 13:00:00,13.0,0.69,4.09,4.14,9.64,1.0,-0.53,4.06,4.09,352.59,,,,,,,,,,,0.111
2009-07-01 14:00:00,14.0,1.77,4.32,4.67,22.32,2.0,0.1,4.39,4.39,1.31,,,,,,,,,,,0.137
2009-07-01 15:00:00,15.0,2.63,4.36,5.09,31.07,3.0,0.49,4.55,4.57,6.14,,,,,,,,,,,0.106
2009-07-01 16:00:00,16.0,2.93,4.11,5.05,35.51,4.0,0.7,4.55,4.6,8.7,,,,,,,,,,,0.086
2009-07-01 17:00:00,17.0,2.8,3.71,4.65,37.01,5.0,0.81,4.43,4.5,10.35,,,,,,,,,,,0.056
2009-07-01 18:00:00,18.0,2.43,3.36,4.15,35.93,6.0,0.93,4.24,4.34,12.34,,,,,,,,,,,0.03
2009-07-01 19:00:00,19.0,2.04,3.2,3.8,32.49,7.0,1.11,4.0,4.15,15.47,,,,,,,,,,,0.02
2009-07-01 20:00:00,20.0,1.72,3.15,3.59,28.56,8.0,1.25,3.72,3.92,18.52,,,,,,,,,,,0.0
2009-07-01 21:00:00,21.0,1.55,3.07,3.44,26.75,9.0,1.2,3.37,3.57,19.56,,,,,,,,,,,0.005
2009-07-01 22:00:00,22.0,1.58,2.86,3.27,28.82,10.0,0.88,2.96,3.09,16.59,,,,,,,,,,,0.005
2009-07-01 23:00:00,23.0,1.64,2.57,3.05,32.48,11.0,0.48,2.56,2.61,10.53,,,,,,,,,,,0.01
2009-07-02 00:00:00,24.0,1.54,2.3,2.76,33.77,12.0,0.22,2.25,2.26,5.53,,,,,,,,,,,0.0
2009-07-02 01:00:00,25.0,1.14,2.11,2.4,28.44,13.0,0.25,2.08,2.09,6.94,1.0,-0.17,2.3,2.31,355.84,,,,,,0.0
2009-07-02 02:00:00,26.0,0.61,1.97,2.06,17.08,14.0,0.35,1.93,1.96,10.4,2.0,-0.53,2.06,2.12,345.42,,,,,,0.0
2009-07-02 03:00:00,27.0,0.16,1.85,1.86,5.02,15.0,0.2,1.65,1.66,6.9,3.0,-0.59,1.54,1.65,338.96,,,,,,0.0
2009-07-02 04:00:00,28.0,-0.03,1.69,1.69,359.08,16.0,-0.41,1.14,1.21,340.15,4.0,-0.47,0.86,0.98,331.16,,,,,,0.0
2009-07-02 05:00:00,29.0,-0.06,1.51,1.51,357.78,17.0,-1.2,0.5,1.31,292.71,5.0,-0.41,0.15,0.43,290.72,,,,,,0.02
2009-07-02 06:00:00,30.0,-0.09,1.29,1.3,355.89,18.0,-1.78,-0.11,1.79,266.42,6.0,-0.62,-0.47,0.78,233.16,,,,,,0.015
2009-07-02 07:00:00,31.0,-0.24,1.06,1.09,347.17,19.0,-1.87,-0.57,1.95,253.13,7.0,-1.27,-0.88,1.55,235.08,,,,,,0.005
2009-07-02 08:00:00,32.0,-0.41,0.84,0.93,333.66,20.0,-1.61,-0.76,1.78,244.77,8.0,-2.07,-1.02,2.3,243.73,,,,,,0.0
2009-07-02 09:00:00,33.0,-0.47,0.65,0.8,324.11,21.0,-1.27,-0.59,1.4,244.97,9.0,-2.65,-0.8,2.76,253.15,,,,,,0.0
2009-07-02 10:00:00,34.0,-0.3,0.5,0.59,329.06,22.0,-1.07,-0.07,1.07,266.5,10.0,-2.72,-0.21,2.73,265.49,,,,,,0.0
2009-07-02 11:00:00,35.0,0.08,0.28,0.29,16.89,23.0,-0.99,0.5,1.11,296.79,11.0,-2.33,0.54,2.39,283.06,,,,,,0.0
2009-07-02 12:00:00,36.0,0.65,-0.17,0.67,104.44,24.0,-0.97,0.69,1.19,305.29,12.0,-1.59,1.2,2.0,307.07,,,,,,0.0
2009-07-02 13:00:00,37.0,1.33,-0.9,1.6,124.07,25.0,-0.98,0.24,1.01,283.71,13.0,-0.68,1.58,1.72,336.84,1.0,0.27,1.11,1.14,13.62,0.0
2009-07-02 14:00:00,38.0,1.89,-1.62,2.49,130.61,26.0,-1.03,-0.54,1.16,242.47,14.0,0.13,1.72,1.72,4.47,2.0,0.53,0.73,0.9,35.79,0.0
2009-07-02 15:00:00,39.0,2.08,-1.96,2.86,133.24,27.0,-1.18,-1.18,1.67,225.16,15.0,0.52,1.72,1.79,16.79,3.0,0.29,0.31,0.42,43.0,0.0
2009-07-02 16:00:00,40.0,1.77,-1.64,2.42,132.82,28.0,-1.42,-1.34,1.95,226.6,16.0,0.28,1.66,1.68,9.47,4.0,-0.21,-0.1,0.23,244.82,0.0
2009-07-02 17:00:00,41.0,1.34,-0.86,1.59,122.55,29.0,-1.43,-1.16,1.84,231.08,17.0,-0.29,1.53,1.55,349.18,5.0,-0.63,-0.43,0.76,236.06,0.0
2009-07-02 18:00:00,42.0,1.29,0.11,1.3,85.03,30.0,-0.86,-0.87,1.23,224.52,18.0,-0.76,1.27,1.49,329.02,6.0,-0.59,-0.59,0.83,225.32,0.005
2009-07-02 19:00:00,43.0,1.96,1.0,2.2,62.84,31.0,0.48,-0.7,0.85,145.45,19.0,-0.82,0.9,1.21,317.46,7.0,0.14,-0.53,0.55,165.69,0.0
2009-07-02 20:00:00,44.0,2.95,1.66,3.38,60.68,32.0,2.04,-0.64,2.14,107.51,20.0,-0.54,0.52,0.75,313.93,8.0,1.21,-0.33,1.25,105.37,0.0
2009-07-02 21:00:00,45.0,3.71,1.93,4.19,62.49,33.0,3.1,-0.68,3.17,102.36,21.0,-0.09,0.31,0.32,343.39,9.0,2.13,-0.08,2.13,92.19,0.0
2009-07-02 22:00:00,46.0,3.85,1.78,4.24,65.23,34.0,3.14,-0.75,3.23,103.5,22.0,0.37,0.36,0.52,45.8,10.0,2.53,0.14,2.53,86.88,0.0
2009-07-02 23:00:00,47.0,3.58,1.41,3.85,68.49,35.0,2.55,-0.75,2.66,106.39,23.0,0.83,0.52,0.98,57.79,11.0,2.55,0.31,2.57,83.04,0.005
2009-07-03 00:00:00,48.0,3.25,1.12,3.43,70.93,36.0,1.95,-0.53,2.02,105.3,24.0,1.27,0.56,1.39,66.29,12.0,2.46,0.44,2.5,79.8,0.0
2009-07-03 01:00:00,37.0,1.81,-0.03,1.81,91.1,25.0,1.71,0.32,1.74,79.25,13.0,2.46,0.54,2.52,77.67,1.0,2.21,0.92,2.39,67.34,0.005
2009-07-03 02:00:00,38.0,2.02,0.56,2.1,74.6,26.0,2.06,-0.06,2.07,91.76,14.0,2.54,0.62,2.61,76.3,2.0,2.53,0.92,2.69,69.98,0.005
2009-07-03 03:00:00,39.0,2.35,0.99,2.55,67.12,27.0,2.27,-0.41,2.31,100.25,15.0,2.64,0.71,2.73,74.88,3.0,2.84,0.96,3.0,71.33,0.02
2009-07-03 04:00:00,40.0,2.59,1.08,2.81,67.28,28.0,2.29,-0.57,2.36,103.93,16.0,2.7,0.83,2.83,72.89,4.0,3.13,0.99,3.28,72.35,0.015
2009-07-03 05:00:00,41.0,2.75,0.93,2.91,71.35,29.0,2.27,-0.56,2.34,103.89,17.0,2.73,0.93,2.89,71.18,5.0,3.33,0.94,3.46,74.23,0.035
2009-07-03 06:00:00,42.0,2.91,0.69,2.99,76.66,30.0,2.37,-0.45,2.42,100.8,18.0,2.74,0.95,2.91,70.81,6.0,3.39,0.7,3.47,78.34,0.046
2009-07-03 07:00:00,43.0,3.09,0.49,3.13,80.96,31.0,2.73,-0.3,2.75,96.3,19.0,2.76,0.87,2.9,72.58,7.0,3.3,0.23,3.31,85.98,0.03
2009-07-03 08:00:00,44.0,3.3,0.33,3.31,84.23,32.0,3.26,-0.13,3.27,92.28,20.0,2.89,0.73,2.98,75.84,8.0,3.2,-0.29,3.21,95.18,0.03
2009-07-03 09:00:00,45.0,3.49,0.17,3.49,87.15,33.0,3.82,0.05,3.82,89.27,21.0,3.25,0.63,3.31,79.04,9.0,3.31,-0.63,3.37,100.86,0.046
2009-07-03 10:00:00,46.0,3.64,0.01,3.64,89.89,34.0,4.3,0.22,4.31,87.11,22.0,3.89,0.63,3.94,80.82,10.0,3.75,-0.63,3.8,99.61,0.071
2009-07-03 11:00:00,47.0,3.77,-0.04,3.77,90.54,35.0,4.72,0.34,4.74,85.87,23.0,4.63,0.71,4.69,81.33,11.0,4.31,-0.37,4.33,94.96,0.071
2009-07-03 12:00:00,48.0,3.91,0.21,3.91,86.9,36.0,5.14,0.38,5.16,85.73,24.0,5.24,0.82,5.3,81.11,12.0,4.72,0.0,4.72,90.0,0.091
2009-07-03 13:00:00,37.0,5.6,0.34,5.61,86.52,25.0,5.52,0.93,5.6,80.42,13.0,4.79,0.36,4.8,85.72,1.0,5.75,0.59,5.78,84.16,0.121
2009-07-03 14:00:00,38.0,6.04,0.33,6.05,86.84,26.0,5.59,1.05,5.69,79.36,14.0,4.71,0.64,4.75,82.27,2.0,5.86,0.65,5.89,83.63,0.126
2009-07-03 15:00:00,39.0,6.41,0.52,6.43,85.37,27.0,5.61,1.19,5.74,78.02,15.0,4.78,0.8,4.84,80.53,3.0,5.63,0.88,5.7,81.11,0.066
2009-07-03 16:00:00,40.0,6.63,1.01,6.71,81.38,28.0,5.7,1.35,5.86,76.72,16.0,5.19,0.79,5.25,81.31,4.0,5.19,1.18,5.32,77.15,0.106
2009-07-03 17:00:00,41.0,6.68,1.71,6.9,75.66,29.0,5.78,1.42,5.95,76.16,17.0,5.72,0.62,5.75,83.84,5.0,4.68,1.43,4.9,73.05,0.157
2009-07-03 18:00:00,42.0,6.52,2.5,6.98,69.04,30.0,5.73,1.31,5.88,77.09,18.0,6.06,0.27,6.07,87.47,6.0,4.3,1.48,4.55,71.06,0.238
2009-07-03 19:00:00,43.0,6.13,3.22,6.93,62.3,31.0,5.47,0.95,5.55,80.19,19.0,5.97,-0.23,5.97,92.18,7.0,4.15,1.24,4.33,73.39,0.334
2009-07-03 20:00:00,44.0,5.61,3.65,6.7,56.96,32.0,5.03,0.41,5.05,85.33,20.0,5.56,-0.7,5.6,97.22,8.0,4.16,0.84,4.24,78.55,0.258
2009-07-03 21:00:00,45.0,5.08,3.54,6.19,55.1,33.0,4.49,-0.15,4.49,91.96,21.0,5.02,-0.97,5.11,100.91,9.0,4.19,0.47,4.22,83.6,0.334
