date,"(0, 'hors')","(0, 'u')","(0, 'v')","(0, 'ws')","(0, 'wd')","(1, 'hors')","(1, 'u')","(1, 'v')","(1, 'ws')","(1, 'wd')","(2, 'hors')","(2, 'u')","(2, 'v')","(2, 'ws')","(2, 'wd')","(3, 'hors')","(3, 'u')","(3, 'v')","(3, 'ws')","(3, 'wd')",wp6
2009-07-01 01:00:00,1.0,3.17,-3.2,4.51,135.19,,,,,,,,,,,,,,,,0.066
2009-07-01 02:00:00,2.0,3.06,-3.06,4.33,135.04,,,,,,,,,,,,,,,,0.026
2009-07-01 03:00:00,3.0,2.98,-2.95,4.19,134.75,,,,,,,,,,,,,,,,0.013
2009-07-01 04:00:00,4.0,2.9,-2.85,4.07,134.45,,,,,,,,,,,,,,,,0.0
2009-07-01 05:00:00,5.0,2.79,-2.75,3.92,134.63,,,,,,,,,,,,,,,,0.013
2009-07-01 06:00:00,6.0,2.56,-2.65,3.69,136.0,,,,,,,,,,,,,,,,0.079
2009-07-01 07:00:00,7.0,2.21,-2.55,3.38,139.06,,,,,,,,,,,,,,,,0.013
2009-07-01 08:00:00,8.0,1.88,-2.42,3.07,142.21,,,,,,,,,,,,,,,,0.0
2009-07-01 09:00:00,9.0,1.74,-2.24,2.84,142.21,,,,,,,,,,,,,,,,0.0
2009-07-01 10:00:00,10.0,1.91,-2.0,2.76,136.34,,,,,,,,,,,,,,,,0.0
2009-07-01 11:00:00,11.0,2.21,-1.71,2.79,127.74,,,,,,,,,,,,,,,,0.0
2009-07-01 12:00:00,12.0,2.4,-1.41,2.78,120.39,,,,,,,,,,,,,,,,0.0
2009-07-01 13:00:00,13.0,2.33,-1.12,2.58,115.81,1.0,2.52,-1.48,2.92,120.32,,,,,,,,,,,0.0
2009-07-01 14:00:00,14.0,2.15,-0.87,2.32,112.14,2.0,2.54,-1.49,2.94,120.34,,,,,,,,,,,0.0
2009-07-01 15:00:00,15.0,2.12,-0.67,2.23,107.55,3.0,2.64,-1.41,3.0,118.11,,,,,,,,,,,0.0
2009-07-01 16:00:00,16.0,2.41,-0.53,2.47,102.42,4.0,2.78,-1.29,3.06,114.87,,,,,,,,,,,0.0
2009-07-01 17:00:00,17.0,2.79,-0.46,2.82,99.47,5.0,2.88,-1.17,3.11,112.02,,,,,,,,,,,0.0
2009-07-01 18:00:00,18.0,2.94,-0.49,2.98,99.42,6.0,2.88,-1.1,3.08,110.86,,,,,,,,,,,0.0
2009-07-01 19:00:00,19.0,2.66,-0.61,2.73,102.9,7.0,2.72,-1.12,2.94,112.39,,,,,,,,,,,0.013
2009-07-01 20:00:00,20.0,2.09,-0.81,2.24,111.21,8.0,2.4,-1.19,2.68,116.33,,,,,,,,,,,0.013
2009-07-01 21:00:00,21.0,1.46,-1.07,1.81,126.16,9.0,1.94,-1.24,2.3,122.53,,,,,,,,,,,0.026
2009-07-01 22:00:00,22.0,0.95,-1.34,1.65,144.55,10.0,1.36,-1.21,1.82,131.68,,,,,,,,,,,0.013
2009-07-01 23:00:00,23.0,0.56,-1.56,1.66,160.28,11.0,0.76,-1.1,1.33,145.49,,,,,,,,,,,0.013
2009-07-02 00:00:00,24.0,0.21,-1.64,1.66,172.87,12.0,0.26,-0.92,0.95,164.42,,,,,,,,,,,0.0
2009-07-02 01:00:00,25.0,-0.16,-1.53,1.54,185.81,13.0,-0.05,-0.69,0.69,184.3,1.0,0.16,-1.39,1.4,173.43,,,,,,0.0
2009-07-02 02:00:00,26.0,-0.5,-1.28,1.37,201.27,14.0,-0.2,-0.46,0.5,203.24,2.0,-0.25,-1.27,1.29,190.95,,,,,,0.0
2009-07-02 03:00:00,27.0,-0.77,-0.95,1.22,219.05,15.0,-0.24,-0.29,0.38,218.73,3.0,-0.28,-1.0,1.04,195.78,,,,,,0.0
2009-07-02 04:00:00,28.0,-0.93,-0.61,1.11,236.67,16.0,-0.23,-0.24,0.33,224.24,4.0,-0.09,-0.67,0.67,187.61,,,,,,0.0
2009-07-02 05:00:00,29.0,-0.95,-0.29,0.99,252.84,17.0,-0.27,-0.25,0.37,226.98,5.0,0.15,-0.38,0.41,157.96,,,,,,0.0
2009-07-02 06:00:00,30.0,-0.82,-0.02,0.82,268.65,18.0,-0.44,-0.28,0.53,237.82,6.0,0.25,-0.26,0.36,136.7,,,,,,0.0
2009-07-02 07:00:00,31.0,-0.56,0.2,0.59,289.44,19.0,-0.81,-0.26,0.85,251.94,7.0,0.06,-0.39,0.4,171.5,,,,,,0.0
2009-07-02 08:00:00,32.0,-0.31,0.36,0.47,318.91,20.0,-1.26,-0.16,1.27,262.74,8.0,-0.29,-0.62,0.69,205.1,,,,,,0.0
2009-07-02 09:00:00,33.0,-0.27,0.47,0.54,329.76,21.0,-1.68,0.07,1.68,272.24,9.0,-0.62,-0.76,0.98,219.43,,,,,,0.0
2009-07-02 10:00:00,34.0,-0.53,0.53,0.75,315.0,22.0,-1.93,0.41,1.97,282.08,10.0,-0.78,-0.67,1.03,229.32,,,,,,0.0
2009-07-02 11:00:00,35.0,-0.79,0.54,0.96,304.07,23.0,-1.86,0.71,1.99,290.79,11.0,-0.7,-0.52,0.88,233.26,,,,,,0.0
2009-07-02 12:00:00,36.0,-0.66,0.46,0.81,304.79,24.0,-1.35,0.74,1.54,298.57,12.0,-0.37,-0.57,0.68,213.14,,,,,,0.0
2009-07-02 13:00:00,37.0,0.12,0.29,0.32,22.62,25.0,-0.33,0.36,0.49,317.52,13.0,0.21,-0.97,0.99,167.8,1.0,1.63,-1.38,2.13,130.15,0.0
2009-07-02 14:00:00,38.0,1.27,0.08,1.27,86.37,26.0,0.94,-0.26,0.98,105.48,14.0,0.93,-1.58,1.83,149.68,2.0,2.29,-2.25,3.21,134.39,0.0
2009-07-02 15:00:00,39.0,2.36,-0.12,2.36,92.97,27.0,2.11,-0.88,2.29,112.61,15.0,1.63,-2.18,2.72,143.26,3.0,2.65,-2.69,3.78,135.48,0.013
2009-07-02 16:00:00,40.0,3.05,-0.28,3.06,95.17,28.0,2.92,-1.32,3.2,114.35,16.0,2.19,-2.59,3.39,139.71,4.0,2.78,-2.83,3.96,135.58,0.039
2009-07-02 17:00:00,41.0,3.38,-0.41,3.4,96.87,29.0,3.36,-1.63,3.74,115.92,17.0,2.61,-2.82,3.84,137.29,5.0,2.77,-2.8,3.94,135.27,0.053
2009-07-02 18:00:00,42.0,3.46,-0.56,3.51,99.15,30.0,3.54,-1.94,4.03,118.72,18.0,2.88,-2.96,4.14,135.78,6.0,2.76,-2.75,3.89,134.92,0.039
2009-07-02 19:00:00,43.0,3.41,-0.76,3.49,102.54,31.0,3.51,-2.3,4.2,123.23,19.0,3.03,-3.06,4.3,135.33,7.0,2.8,-2.79,3.95,134.89,0.053
2009-07-02 20:00:00,44.0,3.27,-0.98,3.42,106.74,32.0,3.35,-2.64,4.27,128.2,20.0,3.01,-3.13,4.34,136.12,8.0,2.85,-2.87,4.05,135.2,0.092
2009-07-02 21:00:00,45.0,3.1,-1.2,3.32,111.19,33.0,3.11,-2.82,4.2,132.15,21.0,2.81,-3.17,4.24,138.49,9.0,2.84,-2.92,4.08,135.82,0.079
2009-07-02 22:00:00,46.0,2.9,-1.38,3.21,115.49,34.0,2.84,-2.75,3.95,134.02,22.0,2.42,-3.18,4.0,142.73,10.0,2.71,-2.87,3.95,136.65,0.053
2009-07-02 23:00:00,47.0,2.63,-1.57,3.06,120.8,35.0,2.53,-2.45,3.52,134.08,23.0,1.96,-3.08,3.65,147.57,11.0,2.51,-2.7,3.69,137.07,0.053
2009-07-03 00:00:00,48.0,2.2,-1.8,2.84,129.29,36.0,2.15,-1.98,2.93,132.65,24.0,1.57,-2.8,3.21,150.77,12.0,2.33,-2.41,3.35,136.04,0.026
2009-07-03 01:00:00,37.0,1.72,-1.42,2.23,129.5,25.0,1.37,-2.31,2.69,149.3,13.0,2.23,-2.04,3.02,132.42,1.0,2.46,-1.79,3.04,125.96,0.013
2009-07-03 02:00:00,38.0,1.38,-0.9,1.65,123.04,26.0,1.42,-1.78,2.28,141.49,14.0,2.3,-1.73,2.88,127.03,2.0,2.62,-1.47,3.01,119.35,0.0
2009-07-03 03:00:00,39.0,1.3,-0.57,1.42,113.67,27.0,1.73,-1.44,2.25,129.74,15.0,2.6,-1.68,3.09,122.89,3.0,3.08,-1.8,3.57,120.37,0.0
2009-07-03 04:00:00,40.0,1.6,-0.55,1.69,109.02,28.0,2.3,-1.44,2.71,122.14,16.0,3.15,-1.98,3.72,122.17,4.0,3.71,-2.54,4.49,124.45,0.013
