3.170,-3.200,4.510,135.190,3.170,-3.200,4.510,135.190,3.170,-3.200,4.510,135.190,3.170,-3.200,4.510,135.190,0.066
3.060,-3.060,4.330,135.040,3.060,-3.060,4.330,135.040,3.060,-3.060,4.330,135.040,3.060,-3.060,4.330,135.040,0.026
2.980,-2.950,4.190,134.750,2.980,-2.950,4.190,134.750,2.980,-2.950,4.190,134.750,2.980,-2.950,4.190,134.750,0.013
2.900,-2.850,4.070,134.450,2.900,-2.850,4.070,134.450,2.900,-2.850,4.070,134.450,2.900,-2.850,4.070,134.450,0.000
2.790,-2.750,3.920,134.630,2.790,-2.750,3.920,134.630,2.790,-2.750,3.920,134.630,2.790,-2.750,3.920,134.630,0.013
2.560,-2.650,3.690,136.000,2.560,-2.650,3.690,136.000,2.560,-2.650,3.690,136.000,2.560,-2.650,3.690,136.000,0.079
2.210,-2.550,3.380,139.060,2.210,-2.550,3.380,139.060,2.210,-2.550,3.380,139.060,2.210,-2.550,3.380,139.060,0.013
1.880,-2.420,3.070,142.210,1.880,-2.420,3.070,142.210,1.880,-2.420,3.070,142.210,1.880,-2.420,3.070,142.210,0.000
1.740,-2.240,2.840,142.210,1.740,-2.240,2.840,142.210,1.740,-2.240,2.840,142.210,1.740,-2.240,2.840,142.210,0.000
1.910,-2.000,2.760,136.340,1.910,-2.000,2.760,136.340,1.910,-2.000,2.760,136.340,1.910,-2.000,2.760,136.340,0.000
2.210,-1.710,2.790,127.740,2.210,-1.710,2.790,127.740,2.210,-1.710,2.790,127.740,2.210,-1.710,2.790,127.740,0.000
2.400,-1.410,2.780,120.390,2.400,-1.410,2.780,120.390,2.400,-1.410,2.780,120.390,2.400,-1.410,2.780,120.390,0.000
2.330,-1.120,2.580,115.810,2.520,-1.480,2.920,120.320,2.425,-1.300,2.750,118.065,2.425,-1.300,2.750,118.065,0.000
2.150,-0.870,2.320,112.140,2.540,-1.490,2.940,120.340,2.345,-1.180,2.630,116.240,2.345,-1.180,2.630,116.240,0.000
2.120,-0.670,2.230,107.550,2.640,-1.410,3.000,118.110,2.380,-1.040,2.615,112.830,2.380,-1.040,2.615,112.830,0.000
2.410,-0.530,2.470,102.420,2.780,-1.290,3.060,114.870,2.595,-0.910,2.765,108.645,2.595,-0.910,2.765,108.645,0.000
2.790,-0.460,2.820,99.470,2.880,-1.170,3.110,112.020,2.835,-0.815,2.965,105.745,2.835,-0.815,2.965,105.745,0.000
2.940,-0.490,2.980,99.420,2.880,-1.100,3.080,110.860,2.910,-0.795,3.030,105.140,2.910,-0.795,3.030,105.140,0.000
2.660,-0.610,2.730,102.900,2.720,-1.120,2.940,112.390,2.690,-0.865,2.835,107.645,2.690,-0.865,2.835,107.645,0.013
2.090,-0.810,2.240,111.210,2.400,-1.190,2.680,116.330,2.245,-1.000,2.460,113.770,2.245,-1.000,2.460,113.770,0.013
1.460,-1.070,1.810,126.160,1.940,-1.240,2.300,122.530,1.700,-1.155,2.055,124.345,1.700,-1.155,2.055,124.345,0.026
0.950,-1.340,1.650,144.550,1.360,-1.210,1.820,131.680,1.155,-1.275,1.735,138.115,1.155,-1.275,1.735,138.115,0.013
0.560,-1.560,1.660,160.280,0.760,-1.100,1.330,145.490,0.660,-1.330,1.495,152.885,0.660,-1.330,1.495,152.885,0.013
0.210,-1.640,1.660,172.870,0.260,-0.920,0.950,164.420,0.235,-1.280,1.305,168.645,0.235,-1.280,1.305,168.645,0.000
-0.160,-1.530,1.540,185.810,-0.050,-0.690,0.690,184.300,0.160,-1.390,1.400,173.430,-0.017,-1.203,1.210,181.180,0.000
-0.500,-1.280,1.370,201.270,-0.200,-0.460,0.500,203.240,-0.250,-1.270,1.290,190.950,-0.317,-1.003,1.053,198.487,0.000
-0.770,-0.950,1.220,219.050,-0.240,-0.290,0.380,218.730,-0.280,-1.000,1.040,195.780,-0.430,-0.747,0.880,211.187,0.000
-0.930,-0.610,1.110,236.670,-0.230,-0.240,0.330,224.240,-0.090,-0.670,0.670,187.610,-0.417,-0.507,0.703,216.173,0.000
-0.950,-0.290,0.990,252.840,-0.270,-0.250,0.370,226.980,0.150,-0.380,0.410,157.960,-0.357,-0.307,0.590,212.593,0.000
-0.820,-0.020,0.820,268.650,-0.440,-0.280,0.530,237.820,0.250,-0.260,0.360,136.700,-0.337,-0.187,0.570,214.390,0.000
-0.560,0.200,0.590,289.440,-0.810,-0.260,0.850,251.940,0.060,-0.390,0.400,171.500,-0.437,-0.150,0.613,237.627,0.000
-0.310,0.360,0.470,318.910,-1.260,-0.160,1.270,262.740,-0.290,-0.620,0.690,205.100,-0.620,-0.140,0.810,262.250,0.000
-0.270,0.470,0.540,329.760,-1.680,0.070,1.680,272.240,-0.620,-0.760,0.980,219.430,-0.857,-0.073,1.067,273.810,0.000
-0.530,0.530,0.750,315.000,-1.930,0.410,1.970,282.080,-0.780,-0.670,1.030,229.320,-1.080,0.090,1.250,275.467,0.000
-0.790,0.540,0.960,304.070,-1.860,0.710,1.990,290.790,-0.700,-0.520,0.880,233.260,-1.117,0.243,1.277,276.040,0.000
-0.660,0.460,0.810,304.790,-1.350,0.740,1.540,298.570,-0.370,-0.570,0.680,213.140,-0.793,0.210,1.010,272.167,0.000
0.120,0.290,0.320,22.620,-0.330,0.360,0.490,317.520,0.210,-0.970,0.990,167.800,1.630,-1.380,2.130,130.150,0.000
1.270,0.080,1.270,86.370,0.940,-0.260,0.980,105.480,0.930,-1.580,1.830,149.680,2.290,-2.250,3.210,134.390,0.000
2.360,-0.120,2.360,92.970,2.110,-0.880,2.290,112.610,1.630,-2.180,2.720,143.260,2.650,-2.690,3.780,135.480,0.013
3.050,-0.280,3.060,95.170,2.920,-1.320,3.200,114.350,2.190,-2.590,3.390,139.710,2.780,-2.830,3.960,135.580,0.039
3.380,-0.410,3.400,96.870,3.360,-1.630,3.740,115.920,2.610,-2.820,3.840,137.290,2.770,-2.800,3.940,135.270,0.053
3.460,-0.560,3.510,99.150,3.540,-1.940,4.030,118.720,2.880,-2.960,4.140,135.780,2.760,-2.750,3.890,134.920,0.039
3.410,-0.760,3.490,102.540,3.510,-2.300,4.200,123.230,3.030,-3.060,4.300,135.330,2.800,-2.790,3.950,134.890,0.053
3.270,-0.980,3.420,106.740,3.350,-2.640,4.270,128.200,3.010,-3.130,4.340,136.120,2.850,-2.870,4.050,135.200,0.092
3.100,-1.200,3.320,111.190,3.110,-2.820,4.200,132.150,2.810,-3.170,4.240,138.490,2.840,-2.920,4.080,135.820,0.079
2.900,-1.380,3.210,115.490,2.840,-2.750,3.950,134.020,2.420,-3.180,4.000,142.730,2.710,-2.870,3.950,136.650,0.053
2.630,-1.570,3.060,120.800,2.530,-2.450,3.520,134.080,1.960,-3.080,3.650,147.570,2.510,-2.700,3.690,137.070,0.053
2.200,-1.800,2.840,129.290,2.150,-1.980,2.930,132.650,1.570,-2.800,3.210,150.770,2.330,-2.410,3.350,136.040,0.026
1.720,-1.420,2.230,129.500,1.370,-2.310,2.690,149.300,2.230,-2.040,3.020,132.420,2.460,-1.790,3.040,125.960,0.013
